,name,brand,mrpDecimal,salePriceDecimal,ratingDetails
49,Chicco Baby Moments Mild Body Wash Refresh No Tears For Soft Skin No Tears Soap Free 0m+(500 Ml),CHICCO,479,402.36,
50,Lactodex Lbw Baby Food Tin Of 400 G,LACTODEX,585,585,"{'value': 3.9166666666667, 'count': 12}"
51,Luvlap Instadry Extra Absorbent Dry Sheet Or Bed Protector Salmon Rose 0m+ Medium 70x100cm,LUVLAP,299,215.28,"{'value': 1, 'count': 1}"
52,Huggies Wonder Pants Extra Large Size Diaper Pants (20 Count),HUGGIES,399,327.18,"{'value': 3, 'count': 2}"
53,Suave Kids Shampoo 2 In 1 Surfs Up - 355ml,SUAVE KIDS,385,315.7,
54,Philips Avent Natural 2.0 Bottle 260ml Pack Of 2 Scf033/20,PHILIPS AVENT,895,895,"{'value': 5, 'count': 2}"
55,Mamypoko Pants Extra Absorb Diaper - Extra Large Size Pack Of 104 Diapers,MAMY POKO PANTS,1998,1398.6,"{'value': 1.5, 'count': 2}"
56,Johnson's Baby Cottontouch Newborn Head - To - Toe Bath - 500ml,JOHNSON'S,415,332,"{'value': 5, 'count': 1}"
57,Mee Mee Soft Baby Lotion And Mild Baby Shampoo (500 Ml),MEE MEE,598,508.3,
58,Hohner Baby Lotion Ph 5.5 & Natural Ceramides Oat Lipids & Milk Protein For Daily Use- 200 Ml,HOHNER,599,389.35,
59,Carbamide Forte Veg Prenatal Multivitamin For Pregnancy With Dha-60 Tablets,CARBAMIDE FORTE,995,726.35,
60,Mamypoko Pants Extra Absorb Diaper - Large Size Pack Of 128 Diapers,MAMY POKO PANTS,1998,1398.6,"{'value': 4, 'count': 1}"
61,Beebaby Soft Brush And Comb Set For Newborn Babies Round Shape (blue),BEEBABY,189,98.28,
62,Beebaby Infant Soft Silicone Bristles Teether (100% Bpa Free) (bristles - Green),BEEBABY,189,103.95,"{'value': 1, 'count': 1}"
63,Pigeon Baby Calming Soap - 100 Gm,PIGEON,75,57.75,
64,Tnw-the Natural Wash Baby Body Wash - 150 Ml,TNW-THE NATURAL WASH,350,287,
65,Pigeon Baby Moisturizing Lotion - 200 Ml,PIGEON,215,169.85,"{'value': 4, 'count': 1}"
66,Luvlap Anti-colic Essential Teat/nipple For Slim Neck Bottle 4pcs Slow Flow 0m+,LUVLAP,150,150,
67,The White Willow Memory Foam Pregnancy Pillow For Pregnant Women For Body & Belly Support -bamboo,THE WHITE WILLOW,2999,749.75,
68,Johnson's Baby Wet Wipes (packs Of 2) Pack Of 160,JOHNSON'S,430,387,"{'value': 4.4444444444444, 'count': 9}"
69,Kit - Bsuf | Set Of 5 Tests,THYROCARE,195.1,146.32,
70,Bambo Nature Xxl Size Diaper With Wetness Indicator - 20 Diapers,BAMBO NATURE,999,719.28,"{'value': 5, 'count': 1}"
71,Chicco Wellbeing Pp Pink Bottle 150 Ml,CHICCO,249,249,
72,Unived Veganmomy Woman's Dha Plant-based Omega-3 Dha - 30 Capsules,UNIVED,700,700,
73,Dexolac Stage 1 Infant Formula (upto 6 Months) Tin - 500gm,DEXOLAC,370,370,
74,Olemessa Baby Soap,OLEMESSA,63,50.4,"{'value': 4.5, 'count': 2}"
75,Mothercare Wide Neck Bottle - Pink - 250ml,MOTHERCARE,299,299,
76,Patanjali Shishu Care Diaper Rash Cream 25 Gm,PATANJALI,70,56,
77,Huggies Complete Comfort Wonder Pants With Aloe Vera Small (s) Size Baby Diaper Pants 86 Count,HUGGIES,1199,1199,
78,R For Rabbit Feather Aqua Baby Wipes (combo Of 3),R FOR RABBIT,432,432,"{'value': 1, 'count': 1}"
79,R For Rabbit Apple Pacifier-l Blue,R FOR RABBIT,297,166.32,
80,The Moms Co. Natural  Baby Lotion (pack Of 2) Bottle Of 100 Ml,THE MOMS CO.,298,268.2,
81,Mee Mee Gentle Baby Bubble Bath And Baby Oil With Fruit Extracts (500 Ml),MEE MEE,728,728,
82,R For Rabbit Tusky Pacifier-l Red,R FOR RABBIT,297,213.84,
83,Mamypoko Pants Extra Absorb Diapers (extra Large) - 42 Diapers,MAMY POKO PANTS,999,819.18,
