,Titile,Price,redPrice,yellowPrice,bluePrice,brandName,category,swatchesTotal,sellingAttribute,link
140,Oversized Cashmere-blend Sweater,$199.00 ,,,,H&M,ladies_premium_selection,1,New Arrival,https://www2.hm.com/en_us/productpage.1133907002.html
141,Sweater,$17.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,5,New Arrival,https://www2.hm.com/en_us/productpage.1106148022.html
142,Textured blazer,$64.99 ,,,,H&M,ladies_blazers,1,New Arrival,https://www2.hm.com/en_us/productpage.1155179001.html
143,Oversized Sweatshirt,$14.99 ,,,,H&M,ladies_basics_tops_longsleeve,4,New Arrival,https://www2.hm.com/en_us/productpage.1110764007.html
144,Jute-blend Tote Bag,$34.99 ,,,,H&M,ladies_accessories_bags,1,New Arrival,https://www2.hm.com/en_us/productpage.1118692002.html
145,Mom Comfort Ultra High Jeans,$34.99 ,,,,H&M,ladies_jeans_baggy,4,New Arrival,https://www2.hm.com/en_us/productpage.1030453017.html
146,90s Baggy High Jeans,$35.99 ,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1126815002.html
147,Cotton Shirt,$25.99 ,,,,H&M,ladies_shirtsblouses_shirts,4,New Arrival,https://www2.hm.com/en_us/productpage.1090709007.html
148,Jacket Dress,$74.99 ,,,,H&M,ladies_dresses_shortdresses,1,New Arrival,https://www2.hm.com/en_us/productpage.1144261001.html
149,Crinkled Pants,$29.99 ,,,,H&M,ladies_nightwear_loungewear,2,New Arrival,https://www2.hm.com/en_us/productpage.1140592001.html
150,Double-breasted Trench Coat,$84.99 ,,,,H&M,ladies_jacketscoats_coats,2,New Arrival,https://www2.hm.com/en_us/productpage.1128402003.html
151,Puffer Vest,$24.99 ,,,,H&M,ladies_jacketscoats_gilets,4,New Arrival,https://www2.hm.com/en_us/productpage.1083326012.html
152,Boxy Sweater,$19.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,3,New Arrival,https://www2.hm.com/en_us/productpage.1137692002.html
153,Knit Cashmere Top,$135.00 ,,,,H&M,ladies_tops_shortsleeve,1,New Arrival,https://www2.hm.com/en_us/productpage.1133910001.html
154,Wrap Dress,$34.99 ,,,,H&M,Ladies_dresses_wrap,3,New Arrival,https://www2.hm.com/en_us/productpage.1138612003.html
155,Voluminous Balloon-sleeved Blouse,$29.99 ,,,,H&M,ladies_shirtsblouses_blouses,1,New Arrival,https://www2.hm.com/en_us/productpage.1139529002.html
156,Broderie anglaise flounce-trimmed blouse,$74.99 ,,,,H&M,ladies_shirtsblouses_blouses,0,New Arrival,https://www2.hm.com/en_us/productpage.1145094001.html
157,Rib-knit Cardigan,$19.99 ,,,,H&M,ladies_cardigansjumpers_cardigans,6,New Arrival,https://www2.hm.com/en_us/productpage.1130762006.html
158,Balloon-sleeved Wrap Dress,$39.99 ,,,,H&M,Ladies_dresses_wrap,1,New Arrival,https://www2.hm.com/en_us/productpage.1108104001.html
159,Rib-knit Cardigan,$19.99 ,,,,H&M,ladies_cardigansjumpers_cardigans,6,New Arrival,https://www2.hm.com/en_us/productpage.1130762007.html
160,Sweater,$29.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,6,New Arrival,https://www2.hm.com/en_us/productpage.1107948003.html
161,Rib-knit Sweater,$27.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,2,New Arrival,https://www2.hm.com/en_us/productpage.1130760002.html
162,Square-neck Jersey Dress,$29.99 ,,,,H&M,ladies_dresses_mididresses,3,New Arrival,https://www2.hm.com/en_us/productpage.1154836002.html
163,Cotton Jersey Top,$17.99 ,,,,H&M,ladies_tops_longsleeve,2,New Arrival,https://www2.hm.com/en_us/productpage.1066903011.html
164,Ribbed Tank Top,$10.99 ,,,,H&M,ladies_tops_vests,4,New Arrival,https://www2.hm.com/en_us/productpage.1099913007.html
165,Parachute Pants,$29.99 ,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1112962008.html
166,Sweater,$17.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,5,New Arrival,https://www2.hm.com/en_us/productpage.1106148019.html
167,Satin Pajama Shirt and Pants,$34.99 ,,,,H&M,ladies_night,3,New Arrival,https://www2.hm.com/en_us/productpage.1135056004.html
168,Wrap Dress,$29.99 ,,,,H&M,ladies_dresses_longsleevedress,4,New Arrival,https://www2.hm.com/en_us/productpage.1145264004.html
169,Stand-up Collar Satin Blouse,$17.99 ,,,,H&M,ladies_shirtsblouses_blouses,2,New Arrival,https://www2.hm.com/en_us/productpage.1088810007.html
170,Single-breasted Jacket,$49.99 ,,,,H&M,ladies_blazers,5,New Arrival,https://www2.hm.com/en_us/productpage.0935727045.html
171,Cashmere-blend Mock Turtleneck Sweater,$199.00 ,,,,H&M,ladies_premium_selection,1,New Arrival,https://www2.hm.com/en_us/productpage.1135333001.html
172,Mini Skirt,$24.99 ,,,,H&M,ladies_skirts_mini,1,New Arrival,https://www2.hm.com/en_us/productpage.1088555017.html
173,Oversized Quilted Jacket,$49.99 ,,,,H&M,ladies_jacketscoats_jackets,4,New Arrival,https://www2.hm.com/en_us/productpage.1067297005.html
174,Embroidered Ribbed Top,$19.99 ,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1107943002.html
175,Patterned Shirt,$74.99 ,,,,H&M,ladies_shirtsblouses_shirts,1,New Arrival,https://www2.hm.com/en_us/productpage.1142189001.html
176,Single-breasted blazer,$49.99 ,,,,H&M,ladies_blazers,1,New Arrival,https://www2.hm.com/en_us/productpage.1138523001.html
177,Tie-detail dress,$34.99 ,,,,H&M,ladies_dresses_mididresses,1,New Arrival,https://www2.hm.com/en_us/productpage.1143092001.html
178,Flared High Jeans,$29.99 ,,,,H&M,ladies_divided_jeans_wide,4,New Arrival,https://www2.hm.com/en_us/productpage.1109636001.html
179,Crew-neck Sweatshirt,$24.99 ,,,,H&M,ladies_hoodiesswetshirts_sweatshirts,6,New Arrival,https://www2.hm.com/en_us/productpage.1091010023.html
180,Cotton-blend Sweatpants,$17.99 ,,,,H&M,ladies_basics_trousersleggings,6,New Arrival,https://www2.hm.com/en_us/productpage.0932722051.html
181,Tasseled Suede Loafers,$74.99 ,,,,H&M,ladies_premium_selection_shoes,2,New Arrival,https://www2.hm.com/en_us/productpage.1132416001.html
182,High Waist Joggers,$24.99 ,,,,H&M,ladies_basics_trousersleggings,9,New Arrival,https://www2.hm.com/en_us/productpage.0975845041.html
183,Vintage Straight High Jeans,$29.99 ,,,,H&M,ladies_jeans_straight,6,New Arrival,https://www2.hm.com/en_us/productpage.1026091048.html
184,Corduroy Cargo Pants,$34.99 ,,,,H&M,ladies_divided_new_clothes,2,New Arrival,https://www2.hm.com/en_us/productpage.1108705001.html
185,5-pack Camisole Tops,$29.99 ,,,,H&M,ladies_basics_tops_vests,1,New Arrival,https://www2.hm.com/en_us/productpage.1080623007.html
186,Gathered-sleeve Jacket,$49.99 ,,,,H&M,ladies_blazers,3,New Arrival,https://www2.hm.com/en_us/productpage.1036121010.html
187,Dress Pants,$34.99 ,,,,H&M,ladies_trousers_highwaisted,3,New Arrival,https://www2.hm.com/en_us/productpage.1089235005.html
188,Single-breasted twill blazer,$74.99 ,,,,H&M,ladies_jacketscoats_jackets,1,New Arrival,https://www2.hm.com/en_us/productpage.1136545001.html
189,Mini Skirt,$29.99 ,,,,H&M,Ladies_skirts_highwaisted,2,New Arrival,https://www2.hm.com/en_us/productpage.1122573005.html
190,Wide High Jeans,$34.99 ,,,,H&M,ladies_jeans,4,New Arrival,https://www2.hm.com/en_us/productpage.1045459014.html
191,Knit Dress,$34.99 ,,,,H&M,ladies_dresses_mididresses,1,New Arrival,https://www2.hm.com/en_us/productpage.1049670008.html
192,Printed Sweatshirt,$29.99 ,,,,H&M,ladies_licence,2,New Arrival,https://www2.hm.com/en_us/productpage.1096931006.html
193,Dress Pants,$34.99 ,,,,H&M,ladies_trousers,4,New Arrival,https://www2.hm.com/en_us/productpage.1138565002.html
194,Sweater,$29.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,6,New Arrival,https://www2.hm.com/en_us/productpage.1107948001.html
195,Twill Cargo Pants,$25.99 ,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1129186001.html
196,Suit Vest,$19.99 ,,,,H&M,ladies_divided_new_clothes,1,New Arrival,https://www2.hm.com/en_us/productpage.1128227001.html
197,Single-breasted Jacket,$39.99 ,,,,H&M,ladies_blazers,2,New Arrival,https://www2.hm.com/en_us/productpage.1128669007.html
198,Oversized Cashmere Sweater,$219.00 ,,,,H&M,ladies_cardigansjumpers_jumpers,2,New Arrival,https://www2.hm.com/en_us/productpage.0951963009.html
199,Harness,$19.99 ,,,,H&M,ladies_accessories,1,New Arrival,https://www2.hm.com/en_us/productpage.1093025002.html
200,Dress Pants,$24.99 ,,,,H&M,ladies_divided_new_clothes,4,New Arrival,https://www2.hm.com/en_us/productpage.1107363003.html
201,Satin Pajama Shirt and Pants,$34.99 ,,,,H&M,ladies_night,3,New Arrival,https://www2.hm.com/en_us/productpage.1135056003.html
202,Crew-neck Sweatshirt,$24.99 ,,,,H&M,ladies_hoodiesswetshirts_sweatshirts,6,New Arrival,https://www2.hm.com/en_us/productpage.1091010017.html
203,Oversized Printed T-shirt,$17.99 ,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1129527002.html
204,Rib-knit dress,$34.99 ,,,,H&M,ladies_dresses_mididresses,1,New Arrival,https://www2.hm.com/en_us/productpage.1129951005.html
205,Oversized Poplin Shirt,$24.99 ,,,,H&M,ladies_divided_new_clothes,2,New Arrival,https://www2.hm.com/en_us/productpage.1134735007.html
206,Rib-knit Sweater,$27.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,2,New Arrival,https://www2.hm.com/en_us/productpage.1130760003.html
207,V-neck Blouse,$24.99 ,,,,H&M,ladies_shirtsblouses_blouses,15,New Arrival,https://www2.hm.com/en_us/productpage.0939703063.html
208,H&M+ Oversized Printed Sweatshirt,$34.99 ,,,,H&M,ladies_divided_hoodiessweatshirts,2,New Arrival,https://www2.hm.com/en_us/productpage.1137340002.html
209,Oversized Printed Sweatshirt,$34.99 ,,,,H&M,ladies_divided_hoodiessweatshirts,2,New Arrival,https://www2.hm.com/en_us/productpage.1127637002.html
210,Balloon-sleeved Wrap Dress,$24.99 ,,,,H&M,Ladies_dresses_wrap,3,New Arrival,https://www2.hm.com/en_us/productpage.1155349003.html
211,Dress Pants,$34.99 ,,,,H&M,ladies_trousers_highwaisted,3,New Arrival,https://www2.hm.com/en_us/productpage.1096238009.html
212,Viscose Dress,$74.99 ,,,,H&M,ladies_dresses_maxidresses,1,New Arrival,https://www2.hm.com/en_us/productpage.1116118002.html
213,Wide-leg Patterned Pants,$64.99 ,,,,H&M,ladies_trousers_wideleg,1,New Arrival,https://www2.hm.com/en_us/productpage.1129038001.html
214,Collared Cable-knit Sweater,$29.99 ,,,,H&M,ladies_knitwear,5,New Arrival,https://www2.hm.com/en_us/productpage.1111775002.html
215,Oversized Gathered-sleeve Shirt,$59.99 ,,,,H&M,ladies_shirtsblouses_shirts,2,New Arrival,https://www2.hm.com/en_us/productpage.1137414002.html
216,Crew-neck Sweatshirt,$24.99 ,,,,H&M,ladies_hoodiesswetshirts_sweatshirts,6,New Arrival,https://www2.hm.com/en_us/productpage.1091010015.html
217,Chunky Loafers,$39.99 ,,,,H&M,ladies_shoes,1,New Arrival,https://www2.hm.com/en_us/productpage.1082477004.html
218,Ruffle-trimmed Blouse,$24.99 ,,,,H&M,ladies_shirtsblouses_blouses,3,New Arrival,https://www2.hm.com/en_us/productpage.1126854001.html
219,Flared High Jeans,$29.99 ,,,,H&M,ladies_divided_jeans_wide,4,New Arrival,https://www2.hm.com/en_us/productpage.1109636006.html
220,Oversized Printed T-shirt,$17.99 ,,,,H&M,ladies_tops_printed_tshirts,5,New Arrival,https://www2.hm.com/en_us/productpage.0762558269.html
221,Hoodie,$19.99 ,,,,H&M,ladies_basics_tops_longsleeve,8,New Arrival,https://www2.hm.com/en_us/productpage.0456163143.html
222,Ribbed Tank Top,$10.99 ,,,,H&M,ladies_tops_vests,4,New Arrival,https://www2.hm.com/en_us/productpage.1099913005.html
223,Short Sweater,$24.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,1,New Arrival,https://www2.hm.com/en_us/productpage.1120565004.html
224,Dress Pants,$34.99 ,,,,H&M,ladies_trousers,4,New Arrival,https://www2.hm.com/en_us/productpage.1138565001.html
225,Oversized Hooded Jacket,$29.99 ,,,,H&M,ladies_basics_tops_longsleeve,5,New Arrival,https://www2.hm.com/en_us/productpage.1139538003.html
226,Oversized Printed T-shirt,$17.99 ,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1129527001.html
227,Skinny High Jeans,$29.99 ,,,,H&M,ladies_jeans_skinny,3,New Arrival,https://www2.hm.com/en_us/productpage.1082961005.html
228,Chain-detail Loafers,$29.99 ,,,,H&M,Ladies_shoes_loafers,1,New Arrival,https://www2.hm.com/en_us/productpage.1064598003.html
229,Balloon-sleeved Wrap Dress,$24.99 ,,,,H&M,Ladies_dresses_wrap,3,New Arrival,https://www2.hm.com/en_us/productpage.1155349001.html
230,Knee-high Heeled Boots,$74.99 ,,,,H&M,ladies_shoes_boots,2,New Arrival,https://www2.hm.com/en_us/productpage.1090450004.html
231,Oversized Mohair-blend Cardigan,$74.99 ,,,,H&M,ladies_cardigansjumpers_cardigans,2,New Arrival,https://www2.hm.com/en_us/productpage.1145260002.html
232,Pleated blouse,$35.99 ,,,,H&M,ladies_shirtsblouses_blouses,2,New Arrival,https://www2.hm.com/en_us/productpage.1139295002.html
233,Gathered Bodycon Dress,$24.99 ,,,,H&M,ladies_dresses_mididresses,1,New Arrival,https://www2.hm.com/en_us/productpage.1154696005.html
234,Sneakers,$34.99 ,,,,H&M,ladies_shoes_sneakers,3,New Arrival,https://www2.hm.com/en_us/productpage.0949985007.html
235,Straight High Jeans,$64.99 ,,,,H&M,ladies_divided_jeans_straight,1,New Arrival,https://www2.hm.com/en_us/productpage.1147233001.html
236,Knee-high Heeled Boots,$79.99 ,,,,H&M,ladies_shoes,1,New Arrival,https://www2.hm.com/en_us/productpage.1153812001.html
237,Tasseled Sandals,$29.99 ,,,,H&M,ladies_shoes,2,New Arrival,https://www2.hm.com/en_us/productpage.1148729001.html
238,Oversized hole-knit jumper,$64.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,1,New Arrival,https://www2.hm.com/en_us/productpage.1136736001.html
239,Shaping Swimsuit,$39.99 ,,,,H&M,ladies_swimwear_swimsuits,1,New Arrival,https://www2.hm.com/en_us/productpage.1032287002.html
240,Leather Ballet Flats,$64.99 ,,,,H&M,ladies_premium_selection_shoes,2,New Arrival,https://www2.hm.com/en_us/productpage.1125795002.html
241,Patterned Mesh Skirt,$24.99 ,,,,H&M,ladies_skirts_midiskirts,2,New Arrival,https://www2.hm.com/en_us/productpage.1134917002.html
242,Cotton-blend Sweatpants,$17.99 ,,,,H&M,ladies_basics_trousersleggings,6,New Arrival,https://www2.hm.com/en_us/productpage.0932722055.html
243,Tie-belt Jacket Dress,$64.99 ,,,,H&M,ladies_dresses_longsleevedress,2,New Arrival,https://www2.hm.com/en_us/productpage.1127697001.html
244,Long Printed T-shirt,$24.99 ,,,,H&M,ladies_tops_printed_tshirts,3,New Arrival,https://www2.hm.com/en_us/productpage.1002471032.html
245,Double-breasted Trench Coat,$119.00 ,,,,H&M,ladies_jacketscoats_trench,1,New Arrival,https://www2.hm.com/en_us/productpage.1136542001.html
246,Jacquard-weave Shopper,$34.99 ,,,,H&M,ladies_accessories_bags,1,New Arrival,https://www2.hm.com/en_us/productpage.1118696003.html
247,Short Jersey Top,$9.99 ,,,,H&M,ladies_basics_tops_longsleeve,3,New Arrival,https://www2.hm.com/en_us/productpage.0994083011.html
248,Cotton Poplin Shirt,$24.99 ,,,,H&M,ladies_shirtsblouses_shirts,5,New Arrival,https://www2.hm.com/en_us/productpage.1126542006.html
249,Double-breasted Coat,$74.99 ,,,,H&M,ladies_jacketscoats_coats,3,New Arrival,https://www2.hm.com/en_us/productpage.1115574001.html
250,Oversized Sweatshirt with Motif,$34.99 ,,,,H&M,ladies_divided_hoodiessweatshirts,2,New Arrival,https://www2.hm.com/en_us/productpage.1121853002.html
251,Oversized Printed T-shirt,$17.99 ,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1129527012.html
252,Off-the-shoulder Rib-knit Sweater,$24.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,2,New Arrival,https://www2.hm.com/en_us/productpage.1091729004.html
253,Ballet pumps,$24.99 ,,,,H&M,ladies_shoes_ballerinas_flats,1,New Arrival,https://www2.hm.com/en_us/productpage.1130811001.html
254,Satin Blouse,$35.99 ,,,,H&M,ladies_shirtsblouses_blouses,2,New Arrival,https://www2.hm.com/en_us/productpage.1139298001.html
255,Off-the-shoulder Rib-knit Sweater,$24.99 ,,,,H&M,ladies_cardigansjumpers_jumpers,2,New Arrival,https://www2.hm.com/en_us/productpage.1091729002.html
256,Shacket,$59.99 ,,,,H&M,ladies_jacketscoats_jackets,3,New Arrival,https://www2.hm.com/en_us/productpage.1115960002.html
257,Rib-knit Sweater,$24.99 ,,,,H&M,ladies_knitwear,5,New Arrival,https://www2.hm.com/en_us/productpage.1096768009.html
258,Sweatshirt,$12.99 ,,,,H&M,ladies_basics_tops_longsleeve,6,New Arrival,https://www2.hm.com/en_us/productpage.0994007025.html
259,Oversized Sweatshirt,$34.99 ,,,,H&M,ladies_licence,1,New Arrival,https://www2.hm.com/en_us/productpage.1092132013.html
260,Twill Cargo Pants,$25.99 ,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1129186002.html
261,90s Baggy High Cargo Jeans,$34.99 ,,,,H&M,ladies_divided_jeans_loose,3,New Arrival,https://www2.hm.com/en_us/productpage.1121709004.html
262,Sweatshirt,$17.99 ,,,,H&M,ladies_basics_tops_longsleeve,4,New Arrival,https://www2.hm.com/en_us/productpage.0889828042.html
263,Satin Blouse,$35.99 ,,,,H&M,ladies_shirtsblouses_blouses,2,New Arrival,https://www2.hm.com/en_us/productpage.1139298002.html
264,Cotton Jersey Pajamas,$17.99 ,,,,H&M,ladies_nightwear_pyjamas,1,New Arrival,https://www2.hm.com/en_us/productpage.0996832012.html
265,Oversized Sweatshirt,$14.99 ,,,,H&M,ladies_basics_tops_longsleeve,4,New Arrival,https://www2.hm.com/en_us/productpage.1110764005.html
266,Oversized Printed T-shirt,$17.99 ,,,,H&M,ladies_tops_printed_tshirts,3,New Arrival,https://www2.hm.com/en_us/productpage.1136437010.html
267,Straight Cargo Pants,$34.99 ,,,,H&M,ladies_trousers_cargo,3,New Arrival,https://www2.hm.com/en_us/productpage.1127773003.html
268,Printed Sweatshirt,$34.99 ,,,,H&M,ladies_hoodiesswetshirts_sweatshirts,3,New Arrival,https://www2.hm.com/en_us/productpage.1100429011.html
269,Tie-strap dress,$24.99 ,,,,H&M,ladies_dresses_mididresses,1,New Arrival,https://www2.hm.com/en_us/productpage.1139563001.html
270,Oversized Sweatshirt,$34.99 ,,,,H&M,ladies_licence,1,New Arrival,https://www2.hm.com/en_us/productpage.1097296002.html
271,Rib-knit Dress with Collar,$34.99 ,,,,H&M,ladies_dresses_shortdresses,1,New Arrival,https://www2.hm.com/en_us/productpage.1139013001.html
272,High Waist Denim Shorts,$29.99 ,,,,H&M,Ladies_shorts_highwaisted,1,New Arrival,https://www2.hm.com/en_us/productpage.1144208003.html
273,Mom Loose Fit Ultra High Jeans,$29.99 ,,,,H&M,ladies_jeans_baggy,4,New Arrival,https://www2.hm.com/en_us/productpage.1041089015.html
274,Padded-cup Swimsuit,$24.99 ,,,,H&M,ladies_swimwear_swimsuits,3,New Arrival,https://www2.hm.com/en_us/productpage.1113772001.html
275,Ribbed Tank Top,$10.99 ,,,,H&M,ladies_tops_vests,4,New Arrival,https://www2.hm.com/en_us/productpage.1099913006.html
276,Ribbed Top,$17.99 ,,,,H&M,ladies_tops_longsleeve,3,New Arrival,https://www2.hm.com/en_us/productpage.1117220004.html
277,Broderie anglaise dress,$64.99 ,,,,H&M,ladies_dresses_longsleevedress,1,New Arrival,https://www2.hm.com/en_us/productpage.1145060001.html
278,High Waist Joggers,$24.99 ,,,,H&M,ladies_basics_trousersleggings,9,New Arrival,https://www2.hm.com/en_us/productpage.0975845040.html
279,Sweatshirt,$17.99 ,,,,H&M,ladies_basics_tops_longsleeve,4,New Arrival,https://www2.hm.com/en_us/productpage.0889828051.html
280,Hooded Jacket,$19.99 ,,,,H&M,ladies_basics_tops_longsleeve,3,New Arrival,https://www2.hm.com/en_us/productpage.0984902035.html
281,Hole-knit Cardigan,$25.99 ,,,,H&M,ladies_knitwear,3,New Arrival,https://www2.hm.com/en_us/productpage.1120575002.html
282,Flared High Jeans,$29.99 ,,,,H&M,ladies_divided_jeans_wide,4,New Arrival,https://www2.hm.com/en_us/productpage.1109636005.html
283,Balloon-sleeved Jersey Top,$34.99 ,,,,H&M,ladies_tops_longsleeve,1,New Arrival,https://www2.hm.com/en_us/productpage.1153931002.html
284,Heeled Boots,$49.99 ,,,,H&M,ladies_shoes_ankle_boots,1,New Arrival,https://www2.hm.com/en_us/productpage.1117373002.html
285,Platform Mules,$39.99 ,,,,H&M,Ladies_shoes_slipon,1,New Arrival,https://www2.hm.com/en_us/productpage.1115071001.html
286,Flared High Jeans,$29.99 ,,,,H&M,ladies_divided_jeans_wide,4,New Arrival,https://www2.hm.com/en_us/productpage.1109636003.html
287,T-shirt with Motif,$14.99 ,,,,H&M,ladies_tops_printed_tshirts,4,New Arrival,https://www2.hm.com/en_us/productpage.0762470347.html
288,Puff-sleeved Smocked Dress,$39.99 ,,,,H&M,ladies_dresses_shortdresses,1,New Arrival,https://www2.hm.com/en_us/productpage.1145647001.html
289,Button-detail Ribbed Skirt,$29.99 ,,,,H&M,Ladies_skirts_highwaisted,2,New Arrival,https://www2.hm.com/en_us/productpage.1146228002.html
290,Wrap Dress,$34.99 ,,,,H&M,Ladies_dresses_wrap,3,New Arrival,https://www2.hm.com/en_us/productpage.1138612002.html
291,Collared Cable-knit Sweater,$29.99 ,,,,H&M,ladies_knitwear,5,New Arrival,https://www2.hm.com/en_us/productpage.1111775001.html
292,Flared Leggings,$14.99 ,,,,H&M,ladies_divided_basic,2,New Arrival,https://www2.hm.com/en_us/productpage.1137317001.html
293,Tasseled Suede Loafers,$74.99 ,,,,H&M,ladies_premium_selection_shoes,2,New Arrival,https://www2.hm.com/en_us/productpage.1132416002.html
294,V-neck Blouse,$24.99 ,,,,H&M,ladies_shirtsblouses_blouses,15,New Arrival,https://www2.hm.com/en_us/productpage.0939703064.html
295,Skinny High Jeans,$24.99 ,,,,H&M,ladies_divided_jeans_skinny,4,New Arrival,https://www2.hm.com/en_us/productpage.1124259003.html
296,Dress Pants,$24.99 ,,,,H&M,ladies_divided_new_clothes,4,New Arrival,https://www2.hm.com/en_us/productpage.1107363010.html
297,Rib-knit Cut-out Top,$24.99 ,,,,H&M,ladies_tops_longsleeve,1,New Arrival,https://www2.hm.com/en_us/productpage.1135086001.html
298,Oversized Printed T-shirt,$17.99 ,,,,H&M,ladies_tops_printed_tshirts,3,New Arrival,https://www2.hm.com/en_us/productpage.1136437001.html
299,Button-detail Ribbed Skirt,$29.99 ,,,,H&M,Ladies_skirts_highwaisted,2,New Arrival,https://www2.hm.com/en_us/productpage.1146228001.html
300,H&M+ V-neck Cardigan,$34.99 ,,,,H&M,ladies_cardigansjumpers_cardigans,1,New Arrival,https://www2.hm.com/en_us/productpage.1142803001.html
301,Patterned Balloon-sleeved Dress,$59.99 ,,,,H&M,ladies_dresses_longsleevedress,2,New Arrival,https://www2.hm.com/en_us/productpage.1121324002.html
302,Tie-belt Beach Kaftan,$29.99 ,,,,H&M,ladies_dresses_kaftan,1,New Arrival,https://www2.hm.com/en_us/productpage.1044457004.html
303,Straight-leg Crocheted-look Pants,$59.99 ,,,,H&M,ladies_trousers,1,New Arrival,https://www2.hm.com/en_us/productpage.1089097002.html
304,Hole-knit Cardigan,$25.99 ,,,,H&M,ladies_knitwear,3,New Arrival,https://www2.hm.com/en_us/productpage.1120575003.html
305,Hooded Terry Bathrobe,$99.00 ,,,,H&M,ladies_nightwear_dressing_gowns,2,New Arrival,https://www2.hm.com/en_us/productpage.1147245002.html
306,Fine-knit Cashmere Sweater,$129.00 ,,,,H&M,ladies_cardigansjumpers_jumpers,4,New Arrival,https://www2.hm.com/en_us/productpage.0951932024.html
307,Oversized T-shirt,$9.99 ,,,,H&M,ladies_basics_tops_shortsleeve,2,New Arrival,https://www2.hm.com/en_us/productpage.1137208001.html
308,Sweatshirt,$19.99 ,,,,H&M,ladies_hoodiesswetshirts_sweatshirts,4,New Arrival,https://www2.hm.com/en_us/productpage.1011828052.html
309,Oversized Sweatshirt,$14.99 ,,,,H&M,ladies_basics_tops_longsleeve,4,New Arrival,https://www2.hm.com/en_us/productpage.1110764006.html
310,Patterned Viscose Shirt,$64.99 ,,,,H&M,ladies_shirtsblouses_shirts,2,New Arrival,https://www2.hm.com/en_us/productpage.1125993005.html
311,Wrap Dress,$29.99 ,,,,H&M,ladies_dresses_longsleevedress,4,New Arrival,https://www2.hm.com/en_us/productpage.1145264002.html
312,Tie-detail Wrap Dress,$34.99 ,,,,H&M,ladies_dresses_longsleevedress,2,New Arrival,https://www2.hm.com/en_us/productpage.1148535002.html
313,Flared Leggings,$17.99 ,,,,H&M,ladies_divided_new_clothes,2,New Arrival,https://www2.hm.com/en_us/productpage.1115173001.html
314,Single-breasted Jacket,$49.99 ,,,,H&M,ladies_blazers,4,New Arrival,https://www2.hm.com/en_us/productpage.1127221015.html
315,H&M+ Printed Sweatshirt,$29.99 ,,,,H&M,ladies_divided_new_clothes,1,New Arrival,https://www2.hm.com/en_us/productpage.1144075001.html
316,Printed Sweatshirt,$34.99 ,,,,H&M,ladies_hoodiesswetshirts_sweatshirts,3,New Arrival,https://www2.hm.com/en_us/productpage.1100429010.html
317,Sweatshirt,$17.99 ,,,,H&M,ladies_basics_tops_longsleeve,4,New Arrival,https://www2.hm.com/en_us/productpage.0889828048.html
318,Lyocell-blend Pull-on Pants,$29.99 ,,,,H&M,ladies_divided_new_clothes,3,New Arrival,https://www2.hm.com/en_us/productpage.1136647001.html
319,2-pack Jersey Tops,$19.99 ,,,,H&M,ladies_basics_tops_longsleeve,6,New Arrival,https://www2.hm.com/en_us/productpage.0824995028.html
320,Hoodie,$29.99 ,,,,H&M,ladies_hoodiesswetshirts_hoodies,2,New Arrival,https://www2.hm.com/en_us/productpage.1097580009.html
321,Viscose-blend Crop Top,$24.99 ,,,,H&M,ladies_nightwear_loungewear,1,New Arrival,https://www2.hm.com/en_us/productpage.1149901001.html
322,Pajama Camisole Top and Shorts,$24.99 ,,,,H&M,ladies_nightwear_pyjamas,7,New Arrival,https://www2.hm.com/en_us/productpage.0954232015.html
323,Slingbacks,$29.99 ,,,,H&M,ladies_shoes_sandals_espandrillos,3,New Arrival,https://www2.hm.com/en_us/productpage.1078610006.html
324,Padded Bandeau Bikini Top,$24.99 ,,,,H&M,ladies_swimwear_bikinisets_tops,2,New Arrival,https://www2.hm.com/en_us/productpage.1122177001.html
325,H&M+ Knit Dress,$34.99 ,,,,H&M,ladies_dresses_mididresses,3,New Arrival,https://www2.hm.com/en_us/productpage.1052163007.html
326,Flared Pants,$34.99 ,,,,H&M,ladies_trousers_flare,6,New Arrival,https://www2.hm.com/en_us/productpage.1099204012.html
